SalaryID,EmployeeID,SalaryAmount,FromDate,ToDate
1,1,48000,2019-03-15,2021-03-14
2,2,52000,2018-07-01,2020-06-30
3,3,75000,2020-01-10,NULL
4,4,42000,2017-09-05,2019-09-04
5,5,68000,2019-11-20,NULL
6,6,55000,2018-02-01,2020-01-31
7,7,90000,2021-04-12,NULL
8,8,47000,2016-06-18,2018-06-17
9,9,61000,2019-08-01,NULL
10,10,83000,2020-03-25,NULL
11,11,39000,2017-01-01,2018-12-31
12,12,72000,2019-05-14,NULL
13,13,56000,2018-10-01,2020-09-30
14,14,98000,2022-01-10,NULL
15,15,45000,2016-11-21,2018-11-20
16,16,62000,2019-02-15,NULL
17,17,58000,2018-04-09,2020-04-08
18,18,105000,2021-09-01,NULL
19,19,47000,2017-07-07,2019-07-06
20,20,64000,2020-10-10,NULL
21,21,52000,2018-03-12,2020-03-11
22,22,88000,2021-05-20,NULL
23,23,45000,2016-08-01,2018-07-31
24,24,69000,2019-12-01,NULL
25,25,72000,2020-06-15,NULL
26,26,50000,2017-04-01,2019-03-31
27,27,95000,2022-02-01,NULL
28,28,41000,2016-01-15,2017-12-31
29,29,66000,2019-09-09,NULL
30,30,78000,2020-07-07,NULL
31,31,43000,2017-02-20,2019-02-19
32,32,71000,2019-11-11,NULL
33,33,56000,2018-05-05,2020-05-04
34,34,99000,2022-03-01,NULL
35,35,46000,2016-10-10,2018-10-09
36,36,63000,2019-06-01,NULL
37,37,54000,2018-08-18,2020-08-17
38,38,110000,2021-12-01,NULL
39,39,48000,2017-03-03,2019-03-02
40,40,67000,2020-09-15,NULL
41,41,51000,2018-01-01,2019-12-31
42,42,92000,2022-05-01,NULL
43,43,45000,2016-07-07,2018-07-06
44,44,70000,2019-04-01,NULL
45,45,76000,2020-08-08,NULL
46,46,52000,2017-05-01,2019-04-30
47,47,97000,2022-01-01,NULL
48,48,43000,2016-09-09,2018-09-08
49,49,65000,2019-10-10,NULL
50,50,81000,2021-03-03,NULL
51,1,52000,2021-03-15,NULL
52,2,56000,2020-07-01,NULL
53,4,47000,2019-09-05,2022-09-04
54,6,60000,2020-02-01,NULL
55,8,52000,2018-06-18,2021-06-17
56,11,43000,2019-01-01,NULL
57,13,61000,2020-10-01,NULL
58,15,50000,2018-11-21,2021-11-20
59,17,63000,2020-04-09,NULL
60,19,52000,2019-07-07,2022-07-06
61,21,57000,2020-03-12,NULL
62,23,49000,2018-08-01,2021-07-31
63,26,55000,2019-04-01,NULL
64,28,45000,2018-01-01,2020-12-31
65,31,48000,2019-02-20,NULL
66,33,61000,2020-05-05,NULL
67,35,51000,2018-10-10,2021-10-09
68,37,59000,2020-08-18,NULL
69,39,53000,2019-03-03,2022-03-02
70,41,56000,2020-01-01,NULL
71,43,50000,2018-07-07,2021-07-06
72,46,57000,2019-05-01,NULL
73,48,47000,2018-09-09,2021-09-08
74,3,82000,2023-01-01,NULL
75,5,75000,2022-01-01,NULL
76,7,100000,2023-04-01,NULL
77,9,67000,2022-01-01,NULL
78,10,90000,2023-03-01,NULL
79,12,80000,2022-05-01,NULL
80,14,110000,2024-01-01,NULL
81,16,68000,2022-02-01,NULL
82,18,115000,2023-09-01,NULL
83,20,70000,2022-10-01,NULL
84,22,95000,2023-05-20,NULL
85,24,75000,2022-01-01,NULL
86,25,80000,2023-06-15,NULL
87,27,105000,2024-02-01,NULL
88,29,72000,2022-09-09,NULL
89,30,85000,2023-07-07,NULL
90,32,78000,2022-11-11,NULL
91,34,110000,2024-03-01,NULL
92,36,70000,2022-06-01,NULL
93,38,125000,2023-12-01,NULL
94,40,73000,2023-01-01,NULL
95,42,100000,2024-05-01,NULL
96,44,76000,2022-04-01,NULL
97,45,82000,2023-08-08,NULL
98,47,110000,2024-01-01,NULL
99,49,72000,2022-10-10,NULL
100,50,88000,2023-03-03,NULL
101,1,58000,2023-03-15,NULL
102,2,61000,2023-07-01,NULL
103,4,52000,2022-09-05,NULL
104,6,66000,2023-02-01,NULL
105,8,58000,2021-06-18,NULL
106,11,48000,2023-01-01,NULL
107,13,67000,2023-10-01,NULL
108,15,56000,2021-11-21,NULL
109,17,70000,2023-04-09,NULL
110,19,58000,2022-07-07,NULL
111,21,62000,2023-03-12,NULL
112,23,54000,2021-08-01,NULL
113,26,60000,2023-04-01,NULL
114,28,50000,2021-01-01,NULL
115,31,54000,2023-02-20,NULL
116,33,68000,2023-05-05,NULL
117,35,57000,2021-10-10,NULL
118,37,65000,2023-08-18,NULL
119,39,60000,2022-03-03,NULL
120,41,62000,2023-01-01,NULL
121,43,56000,2021-07-07,NULL
122,46,62000,2023-05-01,NULL
123,48,52000,2021-09-09,NULL
124,3,90000,2024-01-01,NULL
125,5,82000,2024-01-01,NULL
126,7,115000,2024-04-01,NULL
127,9,74000,2024-01-01,NULL
128,10,98000,2024-03-01,NULL
129,12,88000,2024-05-01,NULL
130,14,125000,2025-01-01,NULL
131,16,75000,2024-02-01,NULL
132,18,130000,2024-09-01,NULL
133,20,78000,2024-10-01,NULL
134,22,105000,2024-05-20,NULL
135,24,82000,2024-01-01,NULL
136,25,88000,2024-06-15,NULL
137,27,120000,2025-02-01,NULL
138,29,80000,2024-09-09,NULL
139,30,92000,2024-07-07,NULL
140,32,85000,2024-11-11,NULL
141,34,125000,2025-03-01,NULL
142,36,78000,2024-06-01,NULL
143,38,140000,2024-12-01,NULL
144,40,80000,2024-01-01,NULL
145,42,115000,2025-05-01,NULL
146,44,83000,2024-04-01,NULL
147,45,90000,2024-08-08,NULL
148,47,125000,2025-01-01,NULL
149,49,80000,2024-10-10,NULL
150,50,95000,2024-03-03,NULL
151,1,60000,2025-03-15,NULL
152,2,63000,2025-07-01,NULL
153,3,95000,2025-01-01,NULL
154,4,54000,2024-09-05,NULL
155,5,86000,2025-01-01,NULL
156,6,69000,2025-02-01,NULL
157,7,120000,2025-04-01,NULL
158,8,60000,2024-06-18,NULL
159,9,77000,2025-01-01,NULL
160,10,102000,2025-03-01,NULL
161,11,50000,2025-01-01,NULL
162,12,92000,2025-05-01,NULL
163,13,70000,2025-10-01,NULL
164,14,135000,2026-01-01,NULL
165,15,59000,2024-11-21,NULL
166,16,80000,2025-02-01,NULL
167,17,73000,2025-04-09,NULL
168,18,140000,2025-09-01,NULL
169,19,60000,2024-07-07,NULL
170,20,82000,2025-10-01,NULL
171,21,65000,2025-03-12,NULL
172,22,110000,2025-05-20,NULL
173,23,57000,2024-08-01,NULL
174,24,85000,2025-01-01,NULL
175,25,92000,2025-06-15,NULL
176,26,63000,2025-04-01,NULL
177,27,130000,2026-02-01,NULL
178,28,52000,2024-01-01,NULL
179,29,83000,2025-09-09,NULL
180,30,96000,2025-07-07,NULL
181,31,56000,2025-02-20,NULL
182,32,88000,2025-11-11,NULL
183,33,71000,2025-05-05,NULL
184,34,135000,2026-03-01,NULL
185,35,60000,2024-10-10,NULL
186,36,82000,2025-06-01,NULL
187,37,68000,2025-08-18,NULL
188,38,150000,2025-12-01,NULL
189,39,62000,2024-03-03,NULL
190,40,83000,2025-01-01,NULL
191,41,65000,2025-01-01,NULL
192,42,125000,2026-05-01,NULL
193,43,58000,2024-07-07,NULL
194,44,86000,2025-04-01,NULL
195,45,95000,2025-08-08,NULL
196,46,65000,2025-05-01,NULL
197,47,135000,2026-01-01,NULL
198,48,55000,2024-09-09,NULL
199,49,83000,2025-10-10,NULL
200,50,100000,2025-03-03,NULL
201,51,48000,2022-04-01,NULL
202,52,52000,2021-09-15,NULL
203,53,75000,2023-01-10,NULL
204,54,43000,2022-07-01,NULL
205,55,68000,2023-03-20,NULL
206,56,55000,2021-11-01,NULL
207,57,92000,2024-02-12,NULL
208,58,47000,2020-06-18,2023-06-17
209,58,50000,2023-06-18,NULL
210,59,61000,2022-08-01,NULL
211,60,83000,2023-05-25,NULL
212,61,40000,2021-01-01,2023-12-31
213,61,42000,2024-01-01,NULL
214,62,72000,2023-05-14,NULL
215,63,56000,2022-10-01,NULL
216,64,99000,2024-01-10,NULL
217,65,45000,2021-11-21,2024-11-20
218,65,47000,2024-11-21,NULL
219,66,62000,2023-02-15,NULL
220,67,58000,2022-04-09,NULL
221,68,108000,2024-09-01,NULL
222,69,47000,2021-07-07,2023-07-06
223,69,49000,2023-07-07,NULL
224,70,64000,2023-10-10,NULL
225,71,51000,2024-03-12,NULL
226,72,88000,2024-05-20,NULL
227,73,45000,2022-08-01,NULL
228,74,69000,2023-12-01,NULL
229,75,72000,2024-06-15,NULL
230,76,50000,2022-04-01,2024-03-31
231,76,52000,2024-04-01,NULL
232,77,96000,2025-02-01,NULL
233,78,41000,2021-01-15,2023-12-31
234,78,43000,2024-01-01,NULL
235,79,66000,2023-09-09,NULL
236,80,78000,2024-07-07,NULL
237,52,54000,2025-09-15,NULL
238,53,80000,2025-01-10,NULL
239,55,72000,2025-03-20,NULL
240,57,98000,2026-02-12,NULL
241,60,88000,2025-05-25,NULL
242,62,78000,2026-05-14,NULL
243,64,105000,2026-01-10,NULL
244,66,68000,2025-02-15,NULL
245,68,115000,2026-09-01,NULL
246,70,70000,2026-10-10,NULL
247,72,95000,2026-05-20,NULL
248,75,80000,2026-06-15,NULL
249,79,72000,2026-09-09,NULL
250,80,85000,2026-07-07,NULL
251,81,46000,2023-04-01,NULL
252,82,52000,2022-09-15,NULL
253,83,74000,2024-01-10,NULL
254,84,43000,2023-07-01,NULL
255,85,69000,2024-03-20,NULL
256,86,56000,2022-11-01,NULL
257,87,90000,2025-02-12,NULL
258,88,47000,2021-06-18,2024-06-17
259,88,48000,2024-06-18,NULL
260,89,61000,2023-08-01,NULL
261,90,83000,2024-05-25,NULL
262,91,40000,2022-01-01,2024-12-31
263,92,72000,2024-05-14,NULL
264,93,56000,2023-10-01,NULL
265,94,99000,2025-01-10,NULL
266,95,45000,2022-11-21,2025-11-20
267,96,62000,2024-02-15,NULL
268,97,58000,2023-04-09,NULL
269,98,108000,2025-09-01,NULL
270,99,47000,2022-07-07,2024-07-06
271,99,49000,2024-07-07,NULL
272,100,64000,2024-10-10,NULL
273,81,48000,2025-04-01,NULL
274,82,54000,2025-09-15,NULL
275,83,78000,2026-01-10,NULL
276,85,72000,2026-03-20,NULL
277,87,95000,2026-02-12,NULL
278,89,65000,2026-08-01,NULL
279,90,88000,2026-05-25,NULL
280,92,78000,2026-05-14,NULL
281,94,105000,2026-01-10,NULL
282,96,68000,2026-02-15,NULL
283,98,115000,2026-09-01,NULL
284,100,70000,2026-10-10,NULL
285,58,50000,2025-06-18,NULL
286,61,42000,2025-01-01,NULL
287,65,47000,2026-11-21,NULL
288,69,49000,2025-07-07,NULL
289,76,52000,2025-04-01,NULL
290,78,43000,2025-01-01,NULL
291,91,40000,2025-01-01,NULL
292,84,42000,2026-07-01,NULL
293,86,56000,2025-11-01,NULL
294,93,58000,2026-10-01,NULL
295,95,45000,2025-11-21,NULL
296,97,60000,2026-04-09,NULL
297,52,54000,2026-09-15,NULL
298,55,72000,2026-03-20,NULL
299,70,70000,2027-10-10,NULL
300,80,85000,2027-07-07,NULL